0,CombatZoneResize,200,250,440,390,TLResume
0,HeartTeleport,C,
0,HeartMode,0,,,,
0,TLPause,,,,,
0,SansSlam,1,
0,SansTorso,HandDown,

0,BoneRepeat,B,190,390,15,0,0,150,0,3,100,
0,BoneRepeat,T,190,250,70,0,0,150,0,3,100,

0,BoneRepeat,B,450,390,15,0,180,150,0,3,100,
0,BoneRepeat,T,450,250,70,0,180,150,0,3,100,

0.5,SansTorso,Default,
1.2,T2_BoneSlam,320,
1,CombatZoneResize,160,250,480,390,
0,T2_BoneJumps,
0.7,T2_RngBoneSlam,
1.7,T2_RngBoneSlam,
1.7,T2_RngBoneSlam,
0,T2_ScreenFlip,0
1.7,T2_RngBoneSlam,
1.7,T2_RngBoneSlam,
1.7,T2_RngBoneSlam,
0,T2_ScreenFlip,1,
2.3,EndAttack,
